,,,,,,,,,,,,,
,Effects of the lockdown issued by governments,,,,,,,,,,,,
,,,,,,,,notes:,"0n Apr, 5th, data for USA changed: malues for 2, 3 was:  6071, 7232 – they becomes:  6076, 7121",,,,"6071,"
,LEGENDA,,,,,,,,"- - - ->  death todays was 969, 1321 - now: 974, 1045",,,,
,today,: today for the data block,,,,,,,From Apr 6 on: adjustment in as much as 3 days back;,,,,
,start num,: 5 deaths per million people inhabitants,,,,,,,we will note when backadjustment ends,,,,
,total deaths,": total # of deaths in the Nation, as shown in worldometers site",,,,,,,On Apr 17th data changed:  Apr 14th  3K+  added to deaths,,,,
,Deaths per milllion,: total deaths in the nation per one million inhabitants,,,,,,,,,,,
,deaths today,: # of deaths in the day,,,,,,,,,,,
,start of crisis,": init day, that is the day of more than 5 deaths per million people inhabitants",,,,,,,,,,,
,Days from start,: # of days from init to today,,,,,,,,,,,
,Lockdown date,: date of lockdown,,,,,,,,,,,
,Days from lockdown,: # of days from M1 date,,,,,,,,,,,
,End of crisis,: days of maximum for daily deaths,,,,,,,,,,,
,Crisis duration,": # of days from init to end of crisis (eventually, crisi duration as of today)",,,,,,,,,,,
,,,,,,,,,,,,,
,NOTE:,All data as reported in  https://www.worldometers.info/coronavirus/#countries,,,,,,,,,,,
,,"unknown dates are set in the future, so -1 = unknown",,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Today,,,,,,,,,,,,
,2020-04-22,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,Crisis,Correzione,
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,< =  previos value  & diff,
,Italy,300,25085,415,437,2020-03-10,43,2020-03-12,41,2020-04-23,44,,
,Spagna,230,21717,465,435,2020-03-17,36,2020-03-23,30,2020-04-23,37,,
,France,330,21340,327,544,2020-03-22,31,2020-03-24,29,2020-04-23,32,,
,Sweden,50,1937,187,172,2020-03-25,28,2020-04-07,15,2020-04-23,29,,
,UK,330,18100,267,763,2020-03-26,27,2020-03-29,24,2020-04-23,28,,
,USA,1660,47659,144,2341,2020-03-27,26,2020-03-31,22,2020-04-23,27,,
,Germany,414,5315,63,229,2020-03-28,25,2020-03-30,23,2020-04-23,26,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Today,,,,,,,,,,,,
,2020-04-21,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,Crisis,Correzione,
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,< =  previos value  & diff,
,Italy,300,24648,408,534,2020-03-10,42,2020-03-12,40,2020-04-22,43,,
,Spagna,230,21282,455,430,2020-03-17,35,2020-03-23,29,2020-04-22,36,,
,France,330,20796,319,531,2020-03-22,30,2020-03-24,28,2020-04-22,31,,
,Sweden,50,1765,170,185,2020-03-25,27,2020-04-07,14,2020-04-22,28,,
,UK,330,17337,256,828,2020-03-26,26,2020-03-29,23,2020-04-22,27,,
,USA,1660,45318,137,2804,2020-03-27,25,2020-03-31,21,2020-04-22,26,,
,Germany,414,5086,61,224,2020-03-28,24,2020-03-30,22,2020-04-22,25,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Today,,,,,,,,,,,,
,2020-04-20,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,Crisis,Correzione,
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,< =  previos value  & diff,
,Italy,300,24114,399,454,2020-03-10,41,2020-03-12,39,2020-04-21,42,,
,Spagna,230,20852,446,399,2020-03-17,34,2020-03-23,28,2020-04-21,35,,
,France,330,20265,310,547,2020-03-22,29,2020-03-24,27,2020-04-21,30,,
,Sweden,50,1580,153,40,2020-03-25,26,2020-04-07,13,2020-04-21,27,,
,UK,330,16509,244,449,2020-03-26,25,2020-03-29,22,2020-04-21,26,,
,USA,1660,42514,128,1939,2020-03-27,24,2020-03-31,20,2020-04-21,25,,
,Germany,414,4862,58,220,2020-03-28,23,2020-03-30,21,2020-04-21,24,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Today,,,,,,,,,,,,
,2020-04-19,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,Crisis,Correzione,
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,< =  previos value  & diff,
,Italy,300,23660,391,433,2020-03-10,40,2020-03-12,38,2020-04-20,41,,
,Spagna,230,20453,437,410,2020-03-17,33,2020-03-23,27,2020-04-20,34,,
,France,330,19718,302,395,2020-03-22,28,2020-03-24,26,2020-04-20,29,,
,Sweden,50,1540,149,29,2020-03-25,25,2020-04-07,12,2020-04-20,26,,
,UK,330,16060,237,596,2020-03-26,24,2020-03-29,21,2020-04-20,25,,
,USA,1660,40575,123,1561,2020-03-27,23,2020-03-31,19,2020-04-20,24,,
,Germany,414,4642,55,104,2020-03-28,22,2020-03-30,20,2020-04-20,23,4692,-50
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Today,,,,,,,,,,,,
,2020-04-18,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,Crisis,Correzione,
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,< =  previos value,
,Italy,300,23227,384,482,2020-03-10,39,2020-03-12,37,2020-04-19,40,,
,Spagna,230,20043,429,565,2020-03-17,32,2020-03-23,26,2020-04-19,33,20639,-596
,France,330,19323,296,642,2020-03-22,27,2020-03-24,25,2020-04-19,28,,
,Sweden,50,1511,146,111,2020-03-25,24,2020-04-07,11,2020-04-19,25,,
,UK,330,15464,228,888,2020-03-26,23,2020-03-29,20,2020-04-19,24,,
,USA,1660,39014,118,1867,2020-03-27,22,2020-03-31,18,2020-04-19,23,,
,Germany,414,4538,54,186,2020-03-28,21,2020-03-30,19,2020-04-19,22,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Today,,,,,,,,,,,,
,2020-04-17,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,Crisis,Correzione,
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,< =  previos value,
,Italy,300,22745,376,575,2020-03-10,38,2020-03-12,36,2020-04-18,39,,
,Spagna,230,19478,417,348,2020-03-17,31,2020-03-23,25,2020-04-18,32,20002,-524
,France,330,18681,286,761,2020-03-22,26,2020-03-24,24,2020-04-18,27,,
,Sweden,50,1400,135,67,2020-03-25,23,2020-04-07,10,2020-04-18,24,,
,UK,330,14576,215,847,2020-03-26,22,2020-03-29,19,2020-04-18,23,,
,USA,1660,37147,112,2528,2020-03-27,21,2020-03-31,17,2020-04-18,22,,
,Germany,414,4352,52,300,2020-03-28,20,2020-03-30,18,2020-04-18,21,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Today,,,,,,,,,,,,
,2020-04-16,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,Crisis,Correzione,
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,< =  previos value,
,Italy,300,22170,367,525,2020-03-10,37,2020-03-12,35,2020-04-17,38,,
,Spagna,230,19130,409,318,2020-03-17,30,2020-03-23,24,2020-04-17,31,19315,-185
,France,330,17920,275,753,2020-03-22,25,2020-03-24,23,2020-04-17,26,,
,Sweden,50,1333,129,130,2020-03-25,22,2020-04-07,9,2020-04-17,23,,
,UK,330,13729,203,861,2020-03-26,21,2020-03-29,18,2020-04-17,22,,
,USA,1660,34619,105,2176,2020-03-27,20,2020-03-31,16,2020-04-17,21,,
,Germany,414,4052,48,248,2020-03-28,19,2020-03-30,17,2020-04-17,20,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Today,,,,,,,,,,,,
,2020-04-15,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,Crisis,Vecchie correzioni NON riportate,
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,,
