,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Effects of the lockdown issued by governments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,notes:,"0n Apr, 5th, data for USA changed: malues for 2, 3 was:  6071, 7232 – they becomes:  6076, 7121",,,,"6071,",,,,,,,,,,,,,,,,,,,,,
,LEGENDA,,,,,,,,"- - - ->  death todays was 969, 1321 - now: 974, 1045",,,,,,,,,,,,,,,,,,,,,,,,,
,today,: today for the data block,,,,,,,From Apr 6 on: adjustment in as much as 3 days back;,,,,,,,,,,,,,,,,,,,,,,,,,
,start num,: 5 deaths per million people inhabitants,,,,,,,we will note when backadjustment ends,,,,,,,,,,,,,,,,,,,,,,,,,
,total deaths,": total # of deaths in the Nation, as shown in worldometers site",,,,,,,On Apr 17th data changed:  Apr 14th  3K+  added to deaths,,,,,,,,Italy,Spain,France,Sweden,UK,USA,Germany,,,,,,,,,,,
,Deaths per milllion,: total deaths in the nation per one million inhabitants,,,,,,,,,,,,,,Start num,300,230,330,50,330,1660,414,,,,,,,,,,,
,deaths today,: # of deaths in the day,,,,,,NOTE:,,,,,,,,Population,60.48,46.75,65.27,10.36,67.79,331,83.78,,,,,,,,,,,
,start of crisis,": init day, that is the day of more than 5 deaths per million people inhabitants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Days from start,: # of days from init to today,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lockdown date,: date of lockdown,,,,,,,,,,,,,,START,2020-03-08,2020-03-17,2020-03-22,2020-03-25,2020-03-26,2020-03-27,2020-03-28,,,,,,,,,,,
,Days from lockdown,: # of days from M1 date,,,,,,,,,,,,,,1st say,2020-01-30,2020-03-23,2020-03-24,2020-04-07,2020-03-29,2020-03-31,2020-03-30,,,,,,,,,,,
,End of crisis,: days of maximum for daily deaths,,,,,,,,,,,,,,1st lock,2020-02-21,2020-03-23,2020-03-24,2020-04-07,2020-03-29,2020-03-31,2020-03-30,,,,,,,,,,,
,Crisis duration,": # of days from init to end of crisis (eventually, crisi duration as of today)",,,,,,,,,,,,,,2nd lock,2020-03-05,2020-03-24,2020-03-25,2020-04-08,2020-03-30,2020-04-01,2020-03-31,,,,,,,,,,,
,,,,,,,,,,,,,,,,LOCK,2020-03-12,2020-03-25,2020-03-26,2020-04-09,2020-03-31,2020-04-02,2020-04-01,,,,,,,,,,,
,NOTE:,All data as reported in  https://www.worldometers.info/coronavirus/#countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"unknown dates are set in the future, so -1 = unknown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Today,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-25,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,Crisis,Adjusted values,,,,,,,,,,,,,,,,,,,,,,
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,initial,diff,,,,,,,,,,,,,,,,,,,,,
,Italy,300,26384,436,415,2020-03-10,46,2020-03-12,44,2020-04-26,47,26384,0,,,,,,,,,,,,,,,,,,,,,
,Spain,230,22902,490,378,2020-03-17,39,2020-03-23,33,2020-04-26,40,22902,0,,,,,,,,,,,,,,,,,,,,,
,France,330,22614,346,369,2020-03-22,34,2020-03-24,32,2020-04-26,35,22614,0,,,,,,,,,,,,,,,,,,,,,
,Sweden,50,2192,212,40,2020-03-25,31,2020-04-07,18,2020-04-26,32,2192,0,,,,,,,,,,,,,,,,,,,,,
,UK,330,20319,300,813,2020-03-26,30,2020-03-29,27,2020-04-26,31,20319,0,,,,,,,,,,,,,,,,,,,,,
,USA,1660,54256,164,2065,2020-03-27,29,2020-03-31,25,2020-04-26,30,54256,0,,,,,,,,,,,,,,,,,,,,,
,Germany,414,5877,70,117,2020-03-28,28,2020-03-30,26,2020-04-26,29,5877,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Today,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-24,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,Crisis,Adjusted values,,,,,,,,,,,,,,,,,,,,,,
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,initial,diff,,,,2020-04-24,2020-04-23,2020-04-22,2020-04-21,2020-04-20,,,,,,,,,,,,,
,Italy,300,25969,429,420,2020-03-10,45,2020-03-12,43,2020-04-25,46,25969,0,,,Italy,25969,25549,25085,24648,24114,,,,,,,,,,,,,
,Spain,230,22524,482,367,2020-03-17,38,2020-03-23,32,2020-04-25,39,22524,0,,,Spain,22524,22157,21717,21282,20852,,,,,,,,,,,,,
,France,330,22245,341,389,2020-03-22,33,2020-03-24,31,2020-04-25,34,22245,0,,,France,22245,21856,21340,20796,20265,,,,,,,,,,,,,
,Sweden,50,2152,208,131,2020-03-25,30,2020-04-07,17,2020-04-25,31,2152,0,,,Sweden,2152,2021,1937,1765,1580,,,,,,,,,,,,,
,UK,330,19506,288,768,2020-03-26,29,2020-03-29,26,2020-04-25,30,19506,0,,,UK,19506,18738,18100,17337,16509,,,,,,,,,,,,,
,USA,1660,52191,158,1959,2020-03-27,28,2020-03-31,24,2020-04-25,29,52193,-2,,,USA,52191,50234,47894,45536,42853,,,,,,,,,,,,,
,Germany,414,5760,69,185,2020-03-28,27,2020-03-30,25,2020-04-25,28,5760,0,,,Germany,5760,5575,5315,5086,4862,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Today,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-23,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,Crisis,Adjusted values,,,,,,,,,,,,,,,,,,,,,,
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,initial,diff,,,,2020-04-23,2020-04-22,2020-04-21,2020-04-20,,,,,,,,,,,,,,
,Italy,300,25549,422,464,2020-03-10,44,2020-03-12,42,2020-04-24,45,25549,0,,,Italy,25549,25085,24648,24114,,,,,,,,,,,,,,
,Spain,230,22157,474,440,2020-03-17,37,2020-03-23,31,2020-04-24,38,22157,0,,,Spain,22157,21717,21282,20852,,,,,,,,,,,,,,
,France,330,21856,335,516,2020-03-22,32,2020-03-24,30,2020-04-24,33,21856,0,,,France,21856,21340,20796,20265,,,,,,,,,,,,,,
,Sweden,50,2021,195,84,2020-03-25,29,2020-04-07,16,2020-04-24,30,2021,0,,,Sweden,2021,1937,1765,1580,,,,,,,,,,,,,,
,UK,330,18738,276,638,2020-03-26,28,2020-03-29,25,2020-04-24,29,18738,0,,,UK,18738,18100,17337,16509,,,,,,,,,,,,,,
,USA,1660,50234,152,2342,2020-03-27,27,2020-03-31,23,2020-04-24,28,47659,2575,,,USA,50234,47894,45536,42853,,,,,,,,,,,,,,
,Germany,414,5575,67,260,2020-03-28,26,2020-03-30,24,2020-04-24,27,5575,0,,,Germany,5575,5315,5086,4862,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Today,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-22,,,Deaths per,,Start of,Days from,Lockdown,Days from,End of,Crisis,Adjusted values,,,,,,,,,,,,,,,,,,,,,,
,,Start num,total deaths,million,Deaths today,crisis,start,date,lockdown,crisis,duration,initial,diff,,,,,,,,,,,,,,,,,,,,,
